ActiveUsers,PRBUtilization,AvgSINR,TxPower,CellTemperature,PacketLoss,Failure
35,22,28,17,31,0.4,No
42,28,27,18,32,0.5,No
48,35,26,18,33,0.6,No
55,40,25,19,34,0.8,No
63,48,24,20,35,1,No
70,55,23,20,36,1.2,No
76,60,22,21,37,1.5,No
82,66,21,22,38,1.7,No
88,70,20,22,39,2,No
94,75,19,23,40,2.4,No
102,80,18,24,41,3,Yes
108,83,18,24,42,3.3,Yes
115,86,17,25,43,3.8,Yes
120,88,17,25,44,4.2,Yes
126,90,16,26,45,4.6,Yes
132,92,16,26,46,5.1,Yes
138,94,15,27,47,5.6,Yes
144,95,15,27,48,6,Yes
150,96,14,28,49,6.5,Yes
156,97,14,28,50,7,Yes
