ActiveUsers,PRBUtilization,Latency,PacketLoss,State
22.0,12.8,8.3,0.0,Livre
156.0,74.3,20.5,1.1,Normal
145.0,80.4,26.8,4.4,Congestionada
159.0,92.2,41.4,9.4,Congestionada
111.0,58.3,16.0,0.0,Normal
91.0,58.8,15.0,0.0,Normal
142.0,86.3,34.5,5.2,Congestionada
74.0,42.9,11.1,0.0,Livre
112.0,66.6,25.7,0.0,Normal
35.0,22.4,4.1,0.0,Livre
160.0,87.3,33.4,5.1,Congestionada
42.0,32.9,9.8,0.0,Livre
155.0,86.9,35.9,6.2,Congestionada
168.0,97.2,48.0,10.9,Congestionada
162.0,90.7,41.5,5.7,Congestionada
6.0,9.1,4.6,0.0,Livre
12.0,23.0,3.9,0.0,Livre
32.0,13.9,5.1,0.0,Livre
115.0,69.8,23.7,0.0,Normal
113.0,61.7,19.2,0.0,Normal
199.0,100.0,48.2,11.8,Congestionada
172.0,94.9,46.5,8.6,Congestionada
103.0,63.3,16.5,0.0,Normal
158.0,83.0,30.7,4.0,Congestionada
156.0,88.9,36.2,6.8,Congestionada
146.0,83.9,33.9,5.6,Congestionada
37.0,24.0,6.4,0.0,Livre
79.0,38.8,4.7,0.0,Livre
76.0,40.6,7.9,0.0,Livre
183.0,97.4,49.7,9.0,Congestionada
149.0,76.8,25.4,2.9,Normal
58.0,26.6,8.2,0.0,Livre
112.0,55.3,13.8,0.0,Normal
39.0,28.9,7.2,0.0,Livre
23.0,13.4,6.6,0.0,Livre
132.0,82.2,33.5,4.5,Congestionada
137.0,69.4,19.1,0.0,Normal
25.0,18.2,2.1,0.0,Livre
62.0,30.2,4.2,0.0,Livre
9.0,17.5,12.2,0.0,Livre
91.0,47.6,4.4,0.0,Livre
188.0,97.1,46.0,9.3,Congestionada
60.0,44.4,10.4,0.0,Livre
9.0,6.3,1.0,0.0,Livre
28.0,23.7,11.9,0.0,Livre
60.0,43.9,8.3,0.0,Livre
51.0,29.1,13.5,0.0,Livre
12.0,19.0,3.6,0.0,Livre
129.0,71.6,22.4,0.0,Normal
62.0,41.7,7.9,0.0,Livre
194.0,100.0,55.7,11.4,Congestionada
199.0,100.0,51.9,12.8,Congestionada
9.0,10.0,9.4,0.0,Livre
156.0,95.2,45.4,7.8,Congestionada
190.0,100.0,56.2,11.0,Congestionada
52.0,31.7,11.8,0.0,Livre
59.0,41.4,8.0,0.0,Livre
65.0,39.5,9.8,0.0,Livre
59.0,41.4,3.0,0.0,Livre
30.0,17.9,2.6,0.0,Livre
174.0,100.0,47.0,11.2,Congestionada
162.0,86.1,33.7,6.8,Congestionada
104.0,68.0,19.7,0.0,Normal
134.0,73.7,24.7,0.9,Normal
169.0,93.0,42.9,11.4,Congestionada
25.0,31.8,4.9,0.0,Livre
89.0,49.0,12.2,0.0,Livre
96.0,51.6,10.2,0.0,Livre
70.0,36.6,6.6,0.0,Livre
109.0,61.9,11.4,0.0,Normal
109.0,54.8,10.1,0.0,Normal
53.0,51.9,8.8,0.0,Livre
75.0,55.9,10.9,0.0,Normal
33.0,29.2,8.4,0.0,Livre
118.0,58.8,14.4,0.0,Normal
35.0,26.9,5.2,0.0,Livre
106.0,61.9,17.7,0.0,Normal
138.0,77.0,24.4,2.4,Normal
101.0,75.4,31.6,3.2,Normal
40.0,30.3,5.0,0.0,Livre
23.0,21.1,7.9,0.0,Livre
168.0,97.6,49.2,8.9,Congestionada
67.0,43.1,9.8,0.0,Livre
162.0,88.4,36.3,6.7,Congestionada
194.0,89.6,37.7,7.3,Congestionada
173.0,96.3,45.0,7.6,Congestionada
37.0,36.9,3.7,0.0,Livre
86.0,49.0,11.1,0.0,Livre
51.0,41.3,10.9,0.0,Livre
63.0,46.6,11.9,0.0,Livre
100.0,63.0,16.3,0.0,Normal
132.0,69.8,24.3,0.0,Normal
122.0,67.9,23.6,0.0,Normal
141.0,89.4,40.4,5.1,Congestionada
146.0,74.0,22.7,2.6,Normal
31.0,27.3,4.8,0.0,Livre
22.0,11.7,4.1,0.0,Livre
54.0,41.9,11.1,0.0,Livre
138.0,77.4,28.1,4.1,Normal
107.0,49.1,9.6,0.0,Livre
159.0,96.4,47.4,10.8,Congestionada
27.0,18.1,8.7,0.0,Livre
149.0,83.9,33.4,3.7,Congestionada
181.0,97.6,47.4,10.7,Congestionada
21.0,12.1,5.7,0.0,Livre
188.0,97.5,45.3,10.5,Congestionada
125.0,70.6,25.8,0.5,Normal
98.0,62.1,18.4,0.0,Normal
177.0,84.5,37.9,4.4,Congestionada
129.0,73.1,27.5,0.0,Normal
89.0,42.9,7.2,0.0,Livre
62.0,42.1,10.2,0.0,Livre
81.0,48.8,9.8,0.0,Livre
200.0,100.0,51.4,12.1,Congestionada
138.0,80.2,27.1,3.1,Normal
180.0,99.2,52.4,10.4,Congestionada
61.0,36.9,7.9,0.0,Livre
133.0,62.5,13.1,0.0,Normal
61.0,34.4,10.1,0.0,Livre
171.0,94.7,47.5,10.7,Congestionada
92.0,49.4,15.5,0.0,Livre
12.0,9.0,4.2,0.0,Livre
15.0,13.4,8.5,0.0,Livre
42.0,20.7,7.6,0.0,Livre
5.0,9.7,1.0,0.0,Livre
13.0,10.9,4.5,0.0,Livre
121.0,71.1,21.6,0.0,Normal
94.0,57.2,18.4,0.0,Normal
87.0,57.9,13.7,0.0,Normal
118.0,69.3,20.6,0.0,Normal
184.0,100.0,51.2,11.4,Congestionada
97.0,63.0,14.7,0.0,Normal
83.0,51.4,9.6,0.0,Livre
129.0,60.1,12.4,0.0,Normal
63.0,51.1,15.3,0.0,Normal
87.0,53.6,11.7,0.0,Normal
120.0,71.7,21.6,1.2,Normal
132.0,67.1,19.6,1.2,Normal
193.0,100.0,51.3,11.9,Congestionada
105.0,60.2,15.3,0.0,Normal
53.0,29.4,9.1,0.0,Livre
66.0,43.2,8.8,0.0,Livre
100.0,63.6,12.1,0.0,Normal
38.0,15.1,1.7,0.0,Livre
143.0,75.2,20.6,0.0,Normal
35.0,22.2,13.8,0.0,Livre
88.0,54.8,8.7,0.0,Livre
65.0,41.1,8.9,0.0,Livre
153.0,88.5,35.1,7.7,Congestionada
107.0,71.3,19.4,0.0,Normal
162.0,87.9,40.7,5.8,Congestionada
199.0,100.0,51.4,11.5,Congestionada
99.0,55.3,10.8,0.0,Normal
96.0,58.7,10.4,0.0,Normal
43.0,36.4,1.0,0.0,Livre
101.0,48.4,8.6,0.0,Livre
114.0,63.5,17.0,0.0,Normal
132.0,67.9,22.2,0.0,Normal
187.0,100.0,51.9,13.6,Congestionada
170.0,92.5,40.7,7.3,Congestionada
28.0,14.5,3.5,0.0,Livre
171.0,95.5,45.4,8.5,Congestionada
6.0,15.4,5.7,0.0,Livre
71.0,46.8,11.2,0.0,Livre
116.0,67.6,17.2,0.0,Normal
6.0,2.3,10.0,0.0,Livre
198.0,100.0,43.8,9.8,Congestionada
154.0,83.2,28.7,5.4,Congestionada
104.0,52.9,10.2,0.0,Livre
148.0,91.7,37.0,8.2,Congestionada
166.0,81.1,26.2,3.1,Normal
148.0,78.9,30.5,3.0,Congestionada
68.0,45.1,8.4,0.0,Livre
196.0,100.0,49.1,11.8,Congestionada
92.0,56.7,9.1,0.0,Normal
166.0,84.8,34.1,3.4,Congestionada
133.0,69.7,17.4,0.0,Normal
156.0,87.4,34.3,7.9,Congestionada
50.0,33.2,8.5,0.0,Livre
173.0,97.3,45.9,9.6,Congestionada
124.0,63.8,10.4,0.0,Normal
136.0,91.3,39.0,5.4,Congestionada
92.0,52.3,11.9,0.0,Livre
82.0,52.5,14.1,0.0,Normal
88.0,64.3,18.5,0.0,Normal
163.0,88.6,39.2,4.6,Congestionada
16.0,13.7,11.7,0.0,Livre
81.0,58.5,11.7,0.0,Normal
113.0,59.3,15.9,0.0,Normal
8.0,10.1,1.0,0.0,Livre
103.0,57.4,14.3,0.0,Normal
111.0,53.8,14.5,0.0,Normal
197.0,100.0,51.8,10.3,Congestionada
150.0,75.1,27.6,1.7,Normal
73.0,46.8,11.9,0.0,Livre
176.0,95.0,47.0,9.9,Congestionada
191.0,100.0,49.7,10.6,Congestionada
199.0,100.0,55.5,10.6,Congestionada
67.0,43.4,8.9,0.0,Livre
192.0,90.5,36.9,6.5,Congestionada
15.0,9.7,3.3,0.0,Livre
53.0,41.2,8.4,0.0,Livre
129.0,78.8,25.1,1.6,Normal
80.0,51.4,11.4,0.0,Livre
34.0,29.2,4.0,0.0,Livre
5.0,9.2,2.4,0.0,Livre
85.0,48.4,8.0,0.0,Livre
89.0,59.3,8.5,0.0,Normal
174.0,100.0,51.8,12.1,Congestionada
138.0,70.2,18.2,0.0,Normal
42.0,32.3,7.0,0.0,Livre
34.0,25.9,9.1,0.0,Livre
35.0,12.0,9.1,0.0,Livre
26.0,14.9,1.0,0.0,Livre
60.0,48.8,12.8,0.0,Livre
172.0,88.6,37.4,6.3,Congestionada
114.0,77.3,32.1,3.5,Congestionada
94.0,49.5,14.0,0.0,Livre
27.0,29.0,9.0,0.0,Livre
122.0,72.8,24.4,0.0,Normal
80.0,44.7,6.2,0.0,Livre
8.0,22.4,10.6,0.0,Livre
33.0,24.6,7.3,0.0,Livre
121.0,70.9,22.2,0.0,Normal
56.0,35.5,13.4,0.0,Livre
5.0,10.6,6.8,0.0,Livre
86.0,44.5,9.5,0.0,Livre
110.0,55.5,15.2,0.0,Normal
196.0,100.0,54.0,12.5,Congestionada
168.0,98.2,48.7,9.4,Congestionada
41.0,30.6,8.4,0.0,Livre
113.0,71.1,21.8,0.0,Normal
34.0,26.3,6.2,0.0,Livre
87.0,53.0,11.2,0.0,Livre
156.0,83.6,33.0,5.0,Congestionada
179.0,90.7,38.1,9.2,Congestionada
185.0,100.0,47.5,8.7,Congestionada
173.0,83.3,32.1,4.6,Congestionada
85.0,57.8,6.7,0.0,Normal
106.0,70.4,18.3,0.0,Normal
142.0,73.6,23.0,2.4,Normal
174.0,100.0,50.0,13.5,Congestionada
198.0,100.0,50.7,11.4,Congestionada
78.0,49.2,20.9,0.0,Normal
80.0,53.8,11.9,0.0,Normal
85.0,56.0,14.0,0.0,Normal
155.0,87.5,37.4,3.9,Congestionada
30.0,27.0,3.9,0.0,Livre
97.0,57.0,12.3,0.0,Normal
152.0,75.9,24.5,0.9,Normal
94.0,56.7,11.2,0.0,Normal
55.0,35.9,2.4,0.0,Livre
50.0,31.7,7.1,0.0,Livre
54.0,36.4,11.0,0.0,Livre
74.0,38.4,9.4,0.0,Livre
191.0,100.0,43.5,9.2,Congestionada
150.0,79.7,27.5,3.1,Normal
125.0,68.6,23.7,0.0,Normal
107.0,64.4,13.4,0.0,Normal
149.0,83.1,31.4,6.4,Congestionada
123.0,81.9,30.0,2.4,Congestionada
189.0,100.0,47.8,10.3,Congestionada
132.0,77.3,24.9,3.3,Normal
86.0,57.9,19.1,0.0,Normal
146.0,69.7,20.3,0.0,Normal
53.0,35.2,6.3,0.0,Livre
60.0,37.0,9.5,0.0,Livre
101.0,59.0,15.2,0.0,Normal
22.0,28.9,8.0,0.0,Livre
99.0,50.6,11.6,0.0,Livre
79.0,48.8,13.9,0.0,Livre
28.0,29.2,8.0,0.0,Livre
134.0,57.4,15.7,0.0,Normal
41.0,18.2,7.6,0.0,Livre
138.0,72.7,27.4,0.0,Normal
71.0,57.0,14.3,0.0,Normal
167.0,92.3,38.4,8.0,Congestionada
46.0,30.8,3.2,0.0,Livre
177.0,100.0,51.1,10.9,Congestionada
17.0,15.9,6.8,0.0,Livre
131.0,67.3,23.0,0.0,Normal
67.0,33.0,8.9,0.0,Livre
108.0,63.4,19.7,0.0,Normal
72.0,47.8,6.7,0.0,Livre
151.0,87.1,34.9,5.5,Congestionada
151.0,88.7,41.9,8.8,Congestionada
149.0,81.8,31.7,4.9,Congestionada
149.0,83.2,32.3,5.5,Congestionada
42.0,24.6,5.4,0.0,Livre
131.0,73.5,24.9,1.4,Normal
30.0,27.5,8.1,0.0,Livre
133.0,83.2,30.4,2.5,Congestionada
152.0,77.9,27.4,2.0,Normal
53.0,32.5,9.4,0.0,Livre
184.0,100.0,52.8,8.7,Congestionada
183.0,97.3,40.9,10.2,Congestionada
65.0,46.8,14.2,0.0,Livre
127.0,68.5,21.9,0.0,Normal
142.0,84.9,31.9,6.1,Congestionada
176.0,100.0,48.1,12.4,Congestionada
143.0,80.1,26.8,2.2,Normal
101.0,55.3,15.2,0.0,Normal
188.0,94.5,43.4,9.2,Congestionada
196.0,100.0,46.9,13.0,Congestionada
123.0,72.0,23.1,0.5,Normal
131.0,72.6,27.6,0.0,Normal
61.0,34.6,7.7,0.0,Livre
173.0,97.2,51.7,10.0,Congestionada
142.0,72.3,22.3,0.0,Normal
156.0,80.5,30.2,5.0,Congestionada
83.0,46.0,14.7,0.0,Livre
126.0,70.1,22.8,0.0,Normal
98.0,54.6,9.1,0.0,Livre
178.0,100.0,50.2,10.5,Congestionada
52.0,38.8,9.2,0.0,Livre
103.0,66.9,24.2,0.0,Normal
28.0,29.5,10.5,0.0,Livre
196.0,100.0,52.6,9.9,Congestionada
68.0,33.9,5.4,0.0,Livre
159.0,92.5,46.1,7.9,Congestionada
37.0,25.1,7.0,0.0,Livre
101.0,65.3,17.4,0.0,Normal
59.0,40.2,8.9,0.0,Livre
18.0,15.6,5.6,0.0,Livre
151.0,82.9,30.9,1.8,Congestionada
166.0,85.6,33.5,4.6,Congestionada
13.0,13.5,10.0,0.0,Livre
23.0,19.7,6.1,0.0,Livre
145.0,66.6,13.3,0.0,Normal
96.0,56.1,16.0,0.0,Normal
71.0,49.6,14.6,0.0,Livre
39.0,33.3,8.5,0.0,Livre
40.0,28.7,7.1,0.0,Livre
92.0,39.3,4.5,0.0,Livre
97.0,55.0,9.0,0.0,Livre
133.0,69.3,28.4,1.1,Normal
95.0,53.3,9.4,0.0,Livre
10.0,12.3,3.1,0.0,Livre
25.0,15.9,6.6,0.0,Livre
167.0,94.0,39.4,9.8,Congestionada
130.0,76.8,26.4,0.3,Normal
137.0,74.6,25.8,1.8,Normal
169.0,100.0,54.0,10.9,Congestionada
179.0,100.0,56.8,13.6,Congestionada
95.0,49.9,16.1,0.0,Normal
43.0,21.6,5.0,0.0,Livre
20.0,14.1,4.1,0.0,Livre
31.0,18.2,13.1,0.0,Livre
187.0,98.6,48.5,9.8,Congestionada
124.0,54.1,9.0,0.0,Livre
95.0,48.3,15.1,0.0,Livre
126.0,78.7,29.2,3.6,Congestionada
91.0,56.6,16.4,0.0,Normal
13.0,17.9,8.0,0.0,Livre
162.0,81.9,31.0,4.4,Congestionada
196.0,100.0,51.1,11.9,Congestionada
47.0,40.8,12.9,0.0,Livre
42.0,39.1,7.1,0.0,Livre
161.0,86.0,29.2,5.4,Congestionada
129.0,63.1,20.2,0.0,Normal
80.0,49.8,9.4,0.0,Livre
95.0,60.1,15.7,0.0,Normal
64.0,46.0,10.7,0.0,Livre
37.0,23.8,6.5,0.0,Livre
108.0,66.0,20.9,0.0,Normal
167.0,100.0,55.3,10.8,Congestionada
25.0,16.8,6.3,0.0,Livre
186.0,100.0,52.1,10.9,Congestionada
70.0,30.0,1.2,0.0,Livre
150.0,83.4,32.8,3.0,Congestionada
177.0,100.0,53.5,11.4,Congestionada
177.0,93.9,42.0,6.2,Congestionada
47.0,36.6,3.5,0.0,Livre
110.0,56.1,11.0,0.0,Normal
118.0,51.7,14.1,0.0,Normal
78.0,45.5,2.8,0.0,Livre
183.0,82.8,30.5,2.9,Congestionada
88.0,56.8,12.2,0.0,Normal
143.0,90.5,38.8,7.9,Congestionada
64.0,31.1,10.9,0.0,Livre
127.0,71.4,17.7,0.0,Normal
135.0,81.3,31.1,1.8,Congestionada
92.0,58.5,9.4,0.0,Normal
32.0,29.3,7.9,0.0,Livre
86.0,53.8,15.0,0.0,Normal
195.0,100.0,48.6,11.7,Congestionada
76.0,42.8,6.4,0.0,Livre
12.0,16.0,4.0,0.0,Livre
107.0,60.0,17.4,0.0,Normal
181.0,100.0,56.7,11.8,Congestionada
146.0,78.0,26.1,2.1,Normal
109.0,60.2,18.6,0.0,Normal
61.0,36.2,9.3,0.0,Livre
65.0,48.5,14.9,0.0,Livre
110.0,68.0,21.3,0.0,Normal
167.0,91.4,41.4,8.4,Congestionada
81.0,50.2,16.1,0.0,Normal
111.0,46.3,9.5,0.0,Livre
59.0,38.1,12.2,0.0,Livre
75.0,47.5,8.1,0.0,Livre
168.0,88.7,38.8,4.5,Congestionada
124.0,81.2,31.9,3.5,Congestionada
135.0,67.0,23.1,0.0,Normal
188.0,100.0,49.5,10.5,Congestionada
34.0,26.5,8.8,0.0,Livre
116.0,69.1,19.6,1.5,Normal
132.0,81.6,34.5,2.8,Congestionada
174.0,100.0,54.0,12.4,Congestionada
171.0,92.2,40.6,8.5,Congestionada
79.0,55.9,14.4,0.0,Normal
36.0,31.5,9.4,0.0,Livre
90.0,51.4,9.3,0.0,Livre
120.0,69.4,20.8,0.0,Normal
102.0,41.3,5.4,0.0,Livre
185.0,100.0,46.8,12.9,Congestionada
87.0,50.6,12.7,0.0,Livre
8.0,10.2,4.3,0.0,Livre
96.0,59.1,15.0,0.0,Normal
182.0,98.3,55.7,10.6,Congestionada
88.0,62.7,18.2,0.0,Normal
187.0,96.4,47.7,10.9,Congestionada
193.0,100.0,47.1,9.6,Congestionada
109.0,51.9,12.6,0.0,Livre
47.0,31.4,1.0,0.0,Livre
148.0,94.6,39.7,8.6,Congestionada
58.0,47.2,12.1,0.0,Livre
42.0,31.0,9.7,0.0,Livre
178.0,100.0,46.9,11.6,Congestionada
81.0,44.8,10.0,0.0,Livre
58.0,30.6,6.2,0.0,Livre
52.0,27.1,9.0,0.0,Livre
158.0,83.6,30.4,6.2,Congestionada
40.0,26.7,8.4,0.0,Livre
39.0,27.2,12.9,0.0,Livre
76.0,49.3,14.1,0.0,Livre
30.0,12.9,6.7,0.0,Livre
76.0,44.1,4.1,0.0,Livre
102.0,42.5,8.8,0.0,Livre
103.0,66.0,22.5,0.0,Normal
160.0,75.2,27.0,1.9,Normal
93.0,60.4,12.4,0.0,Normal
116.0,60.2,18.1,0.0,Normal
156.0,95.1,43.9,10.2,Congestionada
199.0,100.0,50.7,12.8,Congestionada
128.0,61.3,14.0,0.0,Normal
189.0,100.0,46.3,10.3,Congestionada
128.0,69.8,17.2,0.0,Normal
191.0,99.1,52.1,11.8,Congestionada
196.0,100.0,51.4,10.2,Congestionada
56.0,29.1,4.3,0.0,Livre
72.0,45.0,12.3,0.0,Livre
194.0,100.0,50.3,11.6,Congestionada
118.0,58.3,11.1,0.0,Normal
79.0,53.7,6.3,0.0,Livre
45.0,29.6,8.8,0.0,Livre
45.0,29.8,2.3,0.0,Livre
51.0,27.6,5.6,0.0,Livre
42.0,20.5,5.9,0.0,Livre
31.0,26.2,7.8,0.0,Livre
197.0,100.0,47.8,11.1,Congestionada
195.0,100.0,46.7,10.8,Congestionada
24.0,28.1,8.5,0.0,Livre
46.0,28.7,7.9,0.0,Livre
182.0,98.7,49.6,9.9,Congestionada
105.0,78.0,22.0,2.8,Normal
83.0,44.9,11.8,0.0,Livre
89.0,59.6,16.1,0.0,Normal
158.0,72.9,28.2,0.8,Normal
173.0,87.2,33.3,6.2,Congestionada
175.0,95.4,45.9,10.7,Congestionada
25.0,26.3,6.8,0.0,Livre
147.0,72.7,24.8,0.0,Normal
88.0,43.0,9.8,0.0,Livre
28.0,29.0,6.6,0.0,Livre
193.0,100.0,52.6,10.7,Congestionada
183.0,98.1,43.8,10.9,Congestionada
93.0,59.0,15.6,0.0,Normal
193.0,97.9,47.9,12.5,Congestionada
18.0,12.8,6.8,0.0,Livre
198.0,100.0,48.9,11.1,Congestionada
124.0,70.8,23.3,0.0,Normal
197.0,96.8,49.8,10.4,Congestionada
188.0,100.0,46.5,10.0,Congestionada
167.0,88.3,40.6,5.7,Congestionada
93.0,51.3,12.8,0.0,Livre
73.0,49.7,9.9,0.0,Livre
107.0,58.3,11.2,0.0,Normal
174.0,92.2,48.4,6.0,Congestionada
84.0,43.2,8.2,0.0,Livre
10.0,1.0,6.7,0.0,Livre
29.0,24.1,9.7,0.0,Livre
93.0,51.0,5.1,0.0,Livre
30.0,16.9,6.6,0.0,Livre
32.0,20.8,8.2,0.0,Livre
31.0,15.1,4.2,0.0,Livre
22.0,25.8,7.1,0.0,Livre
149.0,82.9,31.8,4.3,Congestionada
118.0,66.8,18.8,0.0,Normal
86.0,56.5,10.0,0.0,Normal
92.0,49.1,11.7,0.0,Livre
153.0,87.5,32.3,7.0,Congestionada
53.0,29.9,5.5,0.0,Livre
45.0,35.9,5.8,0.0,Livre
65.0,36.6,6.5,0.0,Livre
71.0,53.8,19.8,0.0,Normal
113.0,64.9,14.8,0.0,Normal
114.0,58.7,11.9,0.0,Normal
138.0,69.7,23.8,0.0,Normal
168.0,89.3,38.3,5.4,Congestionada
150.0,93.2,45.8,8.9,Congestionada
187.0,100.0,47.6,13.0,Congestionada
101.0,63.4,17.7,0.0,Normal
105.0,64.6,21.8,0.0,Normal
185.0,90.9,40.8,8.8,Congestionada
33.0,24.5,7.5,0.0,Livre
23.0,8.4,5.0,0.0,Livre
196.0,100.0,49.7,11.2,Congestionada
35.0,28.2,6.1,0.0,Livre
61.0,27.0,8.3,0.0,Livre
153.0,84.7,36.3,2.8,Congestionada
163.0,91.1,40.0,7.9,Congestionada
48.0,29.2,9.1,0.0,Livre
26.0,19.4,1.0,0.0,Livre
108.0,69.3,22.9,0.0,Normal
49.0,37.7,13.1,0.0,Livre
64.0,38.6,10.8,0.0,Livre
12.0,16.5,7.9,0.0,Livre
67.0,42.8,8.8,0.0,Livre
163.0,86.0,34.6,6.6,Congestionada
70.0,34.0,3.8,0.0,Livre
25.0,13.8,5.0,0.0,Livre
153.0,80.7,30.3,3.1,Congestionada
139.0,80.4,27.3,3.1,Normal
17.0,22.8,7.7,0.0,Livre
49.0,26.0,11.0,0.0,Livre
92.0,55.7,14.3,0.0,Normal
121.0,66.3,19.8,0.0,Normal
182.0,95.6,43.5,8.0,Congestionada
193.0,93.5,45.0,10.8,Congestionada
191.0,100.0,46.1,12.1,Congestionada
25.0,17.8,6.6,0.0,Livre
74.0,46.6,7.4,0.0,Livre
107.0,64.8,21.3,0.0,Normal
163.0,82.7,25.0,4.0,Congestionada
174.0,85.7,35.7,4.9,Congestionada
48.0,25.5,5.1,0.0,Livre
124.0,69.2,22.8,0.0,Normal
187.0,100.0,51.4,10.6,Congestionada
43.0,24.8,8.2,0.0,Livre
182.0,81.5,33.9,0.1,Normal
99.0,63.7,16.7,0.0,Normal
86.0,44.4,13.0,0.0,Livre
107.0,61.2,12.7,0.0,Normal
97.0,50.4,14.4,0.0,Livre
78.0,44.6,7.4,0.0,Livre
48.0,23.9,11.4,0.0,Livre
44.0,25.9,4.4,0.0,Livre
171.0,94.1,39.8,6.2,Congestionada
111.0,52.7,10.3,0.0,Livre
34.0,19.8,12.4,0.0,Livre
32.0,13.3,4.1,0.0,Livre
60.0,31.9,10.2,0.0,Livre
54.0,31.5,7.9,0.0,Livre
132.0,72.4,22.4,0.0,Normal
31.0,24.9,6.4,0.0,Livre
14.0,19.8,5.6,0.0,Livre
88.0,62.2,12.8,0.0,Normal
11.0,2.1,6.7,0.0,Livre
70.0,44.0,8.2,0.0,Livre
94.0,53.5,10.5,0.0,Livre
128.0,67.4,17.4,0.0,Normal
105.0,62.8,18.8,0.0,Normal
197.0,100.0,52.2,11.6,Congestionada
122.0,68.5,18.8,1.2,Normal
149.0,78.5,29.1,2.9,Normal
13.0,6.1,9.4,0.0,Livre
20.0,25.1,8.6,0.0,Livre
93.0,65.2,20.4,0.0,Normal
147.0,82.5,31.1,3.4,Congestionada
190.0,100.0,52.4,11.2,Congestionada
198.0,100.0,50.8,9.6,Congestionada
195.0,96.7,48.3,6.7,Congestionada
174.0,92.1,45.1,7.5,Congestionada
81.0,52.5,11.3,0.0,Livre
115.0,62.7,20.1,0.0,Normal
44.0,31.8,10.2,0.0,Livre
64.0,35.4,3.9,0.0,Livre
145.0,84.5,34.6,5.1,Congestionada
89.0,57.1,10.7,0.0,Normal
72.0,61.1,17.4,0.0,Normal
182.0,88.1,35.0,5.1,Congestionada
188.0,93.3,47.7,8.9,Congestionada
26.0,19.1,5.8,0.0,Livre
106.0,60.8,17.7,0.0,Normal
55.0,27.1,1.0,0.0,Livre
12.0,14.3,2.3,0.0,Livre
86.0,38.1,5.7,0.0,Livre
80.0,50.3,8.3,0.0,Livre
122.0,73.7,23.7,0.1,Normal
199.0,100.0,52.4,11.4,Congestionada
148.0,82.8,34.0,4.4,Congestionada
170.0,97.7,50.6,9.3,Congestionada
101.0,67.8,20.8,0.0,Normal
23.0,15.2,8.5,0.0,Livre
149.0,90.9,36.7,6.6,Congestionada
161.0,89.8,39.7,7.7,Congestionada
134.0,76.2,27.4,1.4,Normal
92.0,54.4,13.6,0.0,Normal
184.0,100.0,51.1,10.2,Congestionada
88.0,52.4,12.4,0.0,Normal
155.0,82.4,32.4,5.4,Congestionada
73.0,45.1,17.1,0.0,Livre
102.0,54.2,12.1,0.0,Normal
194.0,100.0,52.0,12.7,Congestionada
67.0,39.5,16.9,0.0,Livre
56.0,31.7,5.3,0.0,Livre
40.0,25.8,7.2,0.0,Livre
164.0,94.4,41.3,7.7,Congestionada
56.0,39.6,9.8,0.0,Livre
180.0,100.0,48.8,10.6,Congestionada
144.0,87.8,38.4,7.0,Congestionada
25.0,28.0,15.4,0.0,Livre
133.0,70.8,19.4,0.0,Normal
190.0,100.0,47.4,11.6,Congestionada
173.0,97.4,49.1,10.9,Congestionada
54.0,32.8,13.9,0.0,Livre
92.0,48.0,5.8,0.0,Livre
23.0,18.8,4.9,0.0,Livre
175.0,99.9,48.0,9.9,Congestionada
110.0,63.2,17.9,0.0,Normal
141.0,78.6,27.2,1.7,Normal
56.0,32.8,7.1,0.0,Livre
61.0,45.0,9.2,0.0,Livre
120.0,70.6,23.7,0.0,Normal
199.0,100.0,54.9,13.3,Congestionada
141.0,73.3,23.8,0.5,Normal
10.0,9.1,1.6,0.0,Livre
104.0,55.4,13.9,0.0,Normal
107.0,62.9,17.7,0.0,Normal
175.0,100.0,51.8,11.8,Congestionada
9.0,4.8,10.8,0.0,Livre
41.0,22.2,6.4,0.0,Livre
21.0,16.7,9.9,0.0,Livre
44.0,21.6,9.3,0.0,Livre
141.0,69.0,18.6,0.0,Normal
12.0,21.0,3.3,0.0,Livre
46.0,16.7,9.3,0.0,Livre
97.0,58.5,15.7,0.0,Normal
129.0,58.2,12.5,0.0,Normal
181.0,97.3,48.9,11.1,Congestionada
58.0,35.7,2.5,0.0,Livre
39.0,30.0,3.9,0.0,Livre
151.0,84.3,23.7,3.4,Congestionada
20.0,29.3,5.5,0.0,Livre
168.0,92.1,44.4,8.4,Congestionada
118.0,69.8,22.4,0.0,Normal
168.0,97.8,43.4,10.9,Congestionada
77.0,53.3,16.4,0.0,Normal
6.0,16.6,13.9,0.0,Livre
146.0,78.0,26.4,1.8,Normal
111.0,46.9,9.3,0.0,Livre
172.0,91.0,45.8,7.6,Congestionada
179.0,99.1,52.2,11.2,Congestionada
198.0,100.0,51.2,11.8,Congestionada
185.0,98.8,50.6,13.4,Congestionada
139.0,75.9,26.9,3.1,Normal
141.0,78.6,20.7,3.2,Normal
64.0,26.7,11.3,0.0,Livre
93.0,49.1,6.7,0.0,Livre
140.0,77.8,25.7,2.4,Normal
39.0,32.5,10.7,0.0,Livre
