ActiveUsers,RSRP,SINR,CQI,MCS,PRBUtilization,Throughput
20.0,-93.4,8.0,7,13,13.8,8.26
141.0,-66.9,15.5,10,19,76.3,90.15
37.0,-73.4,14.0,9,17,26.3,27.62
168.0,-127.5,-8.7,0,0,91.9,3.59
16.0,-55.1,21.6,12,22,21.8,34.93
175.0,-120.5,-2.5,3,6,94.4,13.19
164.0,-89.4,5.1,6,11,87.4,38.52
70.0,-72.1,14.4,9,17,42.9,46.16
153.0,-106.9,-0.4,4,7,88.2,18.15
73.0,-61.7,15.4,10,19,45.8,50.79
93.0,-118.7,-6.1,1,2,60.5,3.94
105.0,-65.1,17.1,10,19,65.2,84.73
111.0,-93.2,4.7,6,11,60.2,25.09
10.0,-129.1,-6.0,2,4,19.6,1.38
93.0,-75.8,13.7,9,17,54.0,54.06
142.0,-131.3,-6.6,1,2,78.3,4.94
170.0,-69.9,12.7,9,17,91.9,86.51
31.0,-107.1,1.8,4,7,22.9,6.8
92.0,-107.6,-1.0,3,6,59.1,10.51
128.0,-113.8,-1.4,3,6,76.8,12.4
132.0,-84.5,7.3,6,11,75.6,43.63
58.0,-96.2,8.1,7,13,38.9,23.84
138.0,-128.1,-7.6,1,2,79.7,4.26
78.0,-83.9,9.3,7,13,47.9,32.32
112.0,-138.3,-10.0,0,0,67.0,2.1
109.0,-82.5,7.4,7,13,60.4,32.62
147.0,-106.7,-0.1,4,7,82.0,18.51
51.0,-54.0,20.1,11,21,29.8,42.91
25.0,-70.0,14.2,9,17,27.9,28.73
54.0,-117.7,-2.2,3,6,46.4,6.77
85.0,-104.0,1.9,4,7,52.2,15.57
147.0,-48.5,20.7,12,22,77.7,111.64
31.0,-66.6,16.8,10,19,28.0,36.31
161.0,-66.2,17.2,10,19,91.0,122.16
71.0,-53.9,25.1,13,24,53.0,96.7
51.0,-115.1,-4.4,2,4,32.9,3.31
61.0,-90.4,8.5,7,13,46.9,31.27
176.0,-79.8,12.0,8,15,93.1,79.6
78.0,-59.3,16.1,10,19,49.6,57.39
40.0,-105.3,2.4,5,9,36.5,11.57
174.0,-133.0,-9.8,0,0,91.2,2.9
167.0,-89.9,6.3,6,11,88.7,46.16
81.0,-62.9,19.1,11,21,48.0,65.52
87.0,-115.1,-3.1,3,6,51.6,6.26
25.0,-60.6,24.3,13,24,18.9,31.99
119.0,-52.2,16.0,10,19,67.6,80.83
38.0,-108.2,3.1,5,9,32.0,11.1
150.0,-126.0,-5.6,2,4,82.9,6.42
151.0,-78.6,9.8,7,13,85.9,64.45
14.0,-57.7,22.0,12,22,18.3,31.97
118.0,-100.0,2.5,5,9,73.4,24.12
105.0,-56.1,23.1,12,22,64.2,103.63
61.0,-64.1,17.0,10,19,40.9,50.65
146.0,-84.3,3.2,5,9,81.1,29.25
48.0,-128.4,-3.6,2,4,41.9,4.57
51.0,-103.3,3.5,5,9,32.3,11.9
144.0,-46.5,22.5,12,22,82.9,146.08
171.0,-73.5,10.9,8,15,94.3,75.29
36.0,-115.0,-2.0,3,6,34.0,5.43
134.0,-67.0,12.1,8,15,76.1,65.39
34.0,-79.5,10.6,8,15,24.3,19.42
145.0,-83.7,10.1,8,15,86.2,67.89
88.0,-87.7,8.9,7,13,60.7,38.45
87.0,-48.6,19.8,11,21,59.7,87.98
133.0,-62.3,17.7,10,19,76.8,100.73
78.0,-113.7,-0.3,4,7,48.8,10.33
20.0,-96.1,8.8,7,13,18.6,12.27
169.0,-61.7,15.7,10,19,98.4,117.9
153.0,-118.1,-6.8,1,2,77.4,4.93
172.0,-72.6,14.4,9,17,88.2,89.22
175.0,-94.0,4.9,6,11,97.1,41.0
85.0,-44.1,23.8,13,24,54.6,97.67
122.0,-74.3,13.7,9,17,71.5,74.26
180.0,-114.4,-2.5,3,6,100.0,13.9
55.0,-133.0,-6.4,1,2,30.4,1.87
120.0,-121.1,-2.9,3,6,72.6,9.42
26.0,-67.8,15.2,9,17,29.9,33.61
140.0,-59.5,16.4,10,19,75.6,89.82
22.0,-50.0,25.5,13,24,18.4,35.02
129.0,-60.2,21.3,12,22,71.5,109.11
71.0,-92.5,6.1,6,11,47.4,24.85
177.0,-50.0,19.0,11,21,100.0,137.4
82.0,-122.7,-3.8,2,4,59.2,7.09
170.0,-123.2,-4.7,2,4,90.2,8.54
75.0,-100.6,2.4,5,9,39.7,12.07
116.0,-133.6,-5.8,2,4,72.1,5.14
66.0,-72.3,15.0,9,17,46.2,50.51
104.0,-88.9,8.9,7,13,72.3,50.48
147.0,-52.7,19.6,11,21,81.9,113.92
134.0,-109.6,1.5,4,7,80.7,22.72
18.0,-106.2,4.5,5,9,13.3,5.56
54.0,-64.4,21.3,12,22,41.5,62.75
122.0,-104.1,6.0,6,11,72.3,36.04
26.0,-77.4,14.5,9,17,24.9,26.55
123.0,-85.7,6.8,6,11,74.6,44.15
41.0,-87.5,12.2,8,15,30.9,29.77
153.0,-128.2,-7.4,1,2,91.7,4.75
74.0,-120.7,-2.4,3,6,41.3,6.1
39.0,-89.2,10.1,8,15,24.0,17.81
91.0,-77.9,11.8,8,15,55.0,48.91
132.0,-84.4,8.7,7,13,77.6,53.18
69.0,-57.9,19.4,11,21,42.1,57.26
72.0,-91.7,6.4,6,11,46.3,25.08
64.0,-80.3,13.7,9,17,45.7,46.15
112.0,-94.2,3.2,5,9,65.5,23.69
168.0,-70.8,10.9,8,15,98.0,84.65
178.0,-60.1,18.0,11,21,96.3,121.74
139.0,-119.5,-8.2,1,2,75.4,3.4
78.0,-44.7,26.9,14,26,42.8,79.94
175.0,-66.0,16.7,10,19,97.0,110.75
47.0,-59.2,17.3,10,19,32.0,41.45
77.0,-59.0,16.2,10,19,51.1,58.23
168.0,-69.0,12.2,8,15,87.5,82.18
123.0,-133.3,-6.2,1,2,69.3,4.73
172.0,-72.3,11.4,8,15,92.9,83.54
95.0,-121.4,0.9,4,7,67.8,17.02
129.0,-100.3,3.1,5,9,69.5,24.96
108.0,-109.0,2.9,5,9,72.1,24.82
141.0,-121.6,-8.3,1,2,80.3,3.47
76.0,-90.8,10.1,8,15,44.1,34.72
102.0,-93.8,7.5,7,13,59.7,33.48
8.0,-69.5,16.9,10,19,15.5,17.97
103.0,-53.9,17.3,10,19,64.6,83.13
62.0,-112.4,2.4,5,9,43.2,15.11
15.0,-63.6,19.9,11,21,21.7,33.22
103.0,-75.2,12.5,8,15,64.6,63.75
80.0,-47.2,22.8,12,22,54.2,82.2
119.0,-128.9,-10.0,0,0,65.3,1.92
51.0,-108.0,0.2,4,7,36.3,8.63
95.0,-74.5,15.0,9,17,56.7,64.33
31.0,-128.8,-4.7,2,4,26.0,2.28
5.0,-103.3,2.7,5,9,10.3,3.44
45.0,-118.2,-1.9,3,6,39.4,6.32
61.0,-53.8,20.9,12,22,43.1,66.17
111.0,-122.5,-4.9,2,4,68.4,6.26
13.0,-132.6,-3.0,3,6,23.0,2.87
125.0,-132.8,-7.2,1,2,74.1,4.02
154.0,-57.3,18.1,11,21,81.9,117.41
165.0,-105.5,2.8,5,9,93.8,32.42
178.0,-114.2,-2.5,3,6,100.0,14.35
134.0,-135.9,-10.0,0,0,83.0,2.69
65.0,-106.1,3.7,5,9,43.2,16.76
122.0,-119.9,-6.1,1,2,70.4,4.88
126.0,-44.0,23.7,13,24,73.5,127.49
78.0,-79.2,10.7,8,15,44.4,36.7
99.0,-80.3,12.7,9,17,63.5,62.67
154.0,-115.2,-3.6,2,4,87.3,10.25
158.0,-65.9,13.8,9,17,82.9,83.82
167.0,-136.6,-10.0,0,0,90.1,2.67
95.0,-55.4,21.0,12,22,58.7,86.24
51.0,-121.1,-5.2,2,4,29.0,2.41
36.0,-101.5,6.1,6,11,18.6,9.74
172.0,-127.5,-8.4,1,2,91.0,3.82
105.0,-111.7,-3.3,3,6,70.0,8.53
146.0,-54.0,20.3,11,21,94.8,145.66
131.0,-95.5,3.2,5,9,72.9,27.0
64.0,-99.7,4.8,6,11,44.4,18.18
71.0,-51.1,21.1,12,22,45.8,71.11
65.0,-121.4,-2.8,3,6,40.9,5.44
53.0,-134.9,-6.3,1,2,37.7,2.35
160.0,-113.4,-2.2,3,6,88.7,13.3
24.0,-48.8,23.3,12,22,19.1,33.03
170.0,-92.6,5.4,6,11,90.3,41.97
58.0,-120.7,-3.8,2,4,44.0,4.73
97.0,-113.4,1.0,4,7,59.0,15.24
134.0,-118.8,-0.1,4,7,75.4,15.46
72.0,-60.4,20.2,11,21,48.8,70.28
51.0,-67.2,17.5,10,19,38.6,52.15
63.0,-123.8,-3.4,2,4,40.0,4.75
48.0,-91.4,8.5,7,13,34.1,22.69
68.0,-44.9,25.7,13,24,45.9,88.29
27.0,-117.2,0.0,4,7,28.4,6.33
5.0,-76.5,13.0,9,17,13.0,12.72
61.0,-44.0,19.1,11,21,34.4,49.06
150.0,-106.7,3.2,5,9,82.1,31.85
167.0,-65.7,17.2,10,19,92.7,112.18
55.0,-139.9,-9.2,0,0,35.4,1.32
117.0,-125.0,-5.7,2,4,69.1,5.33
118.0,-65.9,14.1,9,17,63.0,66.84
61.0,-53.2,23.6,13,24,44.2,77.57
107.0,-93.6,5.1,6,11,61.4,28.95
12.0,-44.0,26.0,13,24,17.3,33.38
31.0,-88.8,10.0,8,15,26.6,19.72
131.0,-96.5,3.7,5,9,76.2,29.99
28.0,-73.9,12.2,8,15,31.2,27.88
120.0,-60.0,17.7,10,19,69.8,89.83
139.0,-108.9,-0.2,4,7,80.4,17.51
29.0,-72.6,12.1,8,15,26.1,23.53
16.0,-45.6,24.2,13,24,21.6,37.41
61.0,-52.5,19.9,11,21,44.5,66.62
62.0,-83.8,9.6,7,13,38.7,27.54
61.0,-50.4,20.6,11,21,43.0,61.62
180.0,-58.5,12.9,9,17,100.0,96.17
139.0,-109.0,0.2,4,7,78.1,18.75
120.0,-58.8,19.2,11,21,65.3,93.42
148.0,-59.0,17.8,10,19,78.6,101.52
84.0,-117.6,-0.9,3,6,63.6,11.77
180.0,-45.0,22.1,12,22,100.0,162.26
